proto,port
udp,19707
udp,19717
udp,19718
udp,19719
udp,19722
udp,19728
udp,19789
udp,19792
udp,19933
udp,19935
udp,19936
udp,19956
udp,19995
udp,19998
udp,20003
udp,20004
udp,20019
udp,20031
udp,20082
udp,20117
udp,20120
udp,20126
udp,20129
udp,20146
udp,20154
udp,20164
udp,20206
udp,20217
udp,20249
udp,20262
udp,20279
udp,20288
udp,20309
udp,20313
udp,20326
udp,20359
udp,20360
udp,20366
udp,20380
udp,20389
udp,20409
udp,20411
udp,20423
udp,20424
udp,20425
udp,20445
udp,20449
udp,20464
udp,20465
udp,20518
udp,20522
udp,20525
udp,20540
udp,20560
udp,20665
udp,20678
udp,20679
udp,20710
udp,20717
udp,20742
udp,20752
udp,20762
udp,20791
udp,20817
udp,20842
udp,20848
udp,20851
udp,20865
udp,20872
udp,20876
udp,20884
udp,20919
udp,21000
udp,21016
udp,21060
udp,21083
udp,21104
udp,21111
udp,21131
udp,21167
udp,21186
udp,21206
udp,21207
udp,21212
udp,21247
udp,21261
udp,21282
udp,21298
udp,21303
udp,21318
udp,21320
udp,21333
udp,21344
udp,21354
udp,21358
udp,21360
udp,21364
udp,21366
udp,21383
udp,21405
udp,21454
udp,21468
udp,21476
udp,21514
udp,21524
udp,21525
udp,21556
udp,21566
udp,21568
udp,21576
udp,21609
udp,21621
udp,21625
udp,21644
udp,21649
udp,21655
udp,21663
udp,21674
udp,21698
udp,21702
udp,21710
udp,21742
udp,21780
udp,21784
udp,21800
udp,21803
udp,21834
udp,21842
udp,21847
udp,21868
udp,21898
udp,21902
udp,21923
udp,21948
udp,21967
udp,22029
udp,22043
udp,22045
udp,22053
udp,22055
udp,22105
udp,22109
udp,22123
udp,22124
udp,22341
udp,22692
udp,22695
udp,22739
udp,22799
udp,22846
udp,22914
udp,22986
udp,22996
udp,23040
udp,23176
udp,23354
udp,23531
udp,23557
udp,23608
udp,23679
udp,23781
udp,23965
udp,23980
udp,24007
udp,24279
udp,24511
udp,24594
udp,24606
udp,24644
udp,24854
udp,24910
udp,25003
udp,25157
udp,25240
udp,25280
udp,25337
udp,25375
udp,25462
udp,25541
udp,25546
udp,25709
udp,25931
udp,26407
udp,26415
udp,26720
udp,26872
udp,26966
udp,27015
udp,27195
udp,27444
udp,27473
udp,27482
udp,27707
udp,27892
udp,27899
udp,28122
udp,28369
udp,28465
udp,28493
udp,28543
udp,28547
udp,28641
udp,28840
udp,28973
udp,29078
udp,29243
udp,29256
udp,29810
udp,29823
udp,29977
udp,30263
udp,30303
udp,30365
udp,30544
udp,30656
udp,30697
udp,30704
udp,30718
udp,30975
udp,31059
udp,31073
udp,31109
udp,31189
udp,31195
udp,31335
udp,31337
udp,31365
udp,31625
udp,31681
udp,31731
udp,31891
udp,32345
udp,32385
udp,32528
udp,32768
udp,32769
udp,32770
udp,32771
udp,32772
udp,32773
udp,32774
udp,32775
udp,32776
udp,32777
udp,32778
udp,32779
udp,32780
udp,32798
udp,32815
udp,32818
udp,32931
udp,33030
udp,33249
udp,33281
udp,33354
udp,33355
udp,33459
udp,33717
udp,33744
udp,33866
udp,33872
udp,34038
udp,34079
udp,34125
udp,34358
udp,34422
udp,34433
udp,34555
udp,34570
udp,34577
udp,34578
udp,34579
udp,34580
udp,34758
udp,34796
udp,34855
udp,34861
udp,34862
udp,34892
udp,35438
udp,35702
udp,35777
udp,35794
udp,36108
udp,36206
udp,36384
udp,36458
udp,36489
udp,36669
udp,36778
udp,36893
udp,36945
udp,37144
udp,37212
udp,37393
udp,37444
udp,37602
udp,37761
udp,37783
udp,37813
udp,37843
udp,38037
udp,38063
udp,38293
udp,38412
udp,38498
udp,38615
udp,39213
udp,39217
udp,39632
udp,39683
udp,39714
udp,39723
udp,39888
udp,40019
udp,40116
udp,40441
udp,40539
udp,40622
udp,40708
udp,40711
udp,40724
udp,40732
udp,40805
udp,40847
udp,40866
udp,40915
udp,41058
udp,41081
udp,41308
udp,41370
udp,41446
udp,41524
udp,41638
udp,41702
udp,41774
udp,41896
udp,41967
udp,41971
udp,42056
udp,42172
udp,42313
udp,42431
udp,42434
udp,42508
udp,42557
udp,42577
udp,42627
udp,42639
udp,43094
udp,43195
udp,43370
udp,43514
udp,43686
udp,43824
udp,43967
udp,44101
udp,44160
udp,44179
udp,44185
udp,44190
udp,44253
udp,44334
udp,44508
udp,44923
udp,44946
udp,44968
udp,45247
udp,45380
udp,45441
udp,45685
udp,45722
udp,45818
udp,45928
udp,46093
udp,46532
udp,46836
udp,47624
udp,47765
udp,47772
udp,47808
udp,47915
udp,47981
udp,48078
udp,48189
udp,48255
udp,48455
udp,48489
udp,48761
udp,49152
udp,49153
udp,49154
udp,49155
udp,49156
udp,49157
udp,49158
udp,49159
udp,49160
udp,49161
udp,49162
udp,49163
udp,49165
udp,49166
udp,49167
udp,49168
udp,49169
udp,49170
udp,49171
udp,49172
udp,49173
udp,49174
udp,49175
udp,49176
udp,49177
udp,49178
udp,49179
udp,49180
udp,49181
udp,49182
udp,49184
udp,49185
udp,49186
udp,49187
udp,49188
udp,49189
udp,49190
udp,49191
udp,49192
udp,49193
udp,49194
udp,49195
udp,49196
udp,49197
udp,49198
udp,49199
udp,49200
udp,49201
udp,49202
udp,49204
udp,49205
udp,49207
udp,49208
udp,49209
udp,49210
udp,49211
udp,49212
udp,49213
udp,49214
udp,49215
udp,49216
udp,49220
udp,49222
udp,49226
udp,49259
udp,49262
udp,49306
udp,49350
udp,49360
udp,49393
udp,49396
udp,49503
udp,49640
udp,49968
udp,50099
udp,50164
udp,50497
udp,50612
udp,50708
udp,50919
udp,51255
udp,51456
udp,51554
udp,51586
udp,51690
udp,51717
udp,51905
udp,51972
udp,52144
udp,52225
udp,52503
udp,53006
udp,53037
udp,53571
udp,53589
udp,53838
udp,54094
udp,54114
udp,54281
udp,54321
udp,54711
udp,54807
udp,54925
udp,55043
udp,55544
udp,55587
udp,56141
udp,57172
udp,57409
udp,57410
udp,57813
udp,57843
udp,57958
udp,57977
udp,58002
udp,58075
udp,58178
udp,58419
udp,58631
udp,58640
udp,58797
udp,59193
udp,59207
udp,59765
udp,59846
udp,60172
udp,60381
udp,60423
udp,61024
udp,61142
udp,61319
udp,61322
udp,61370
udp,61412
udp,61481
udp,61550
udp,61685
udp,61961
udp,62154
udp,62287
udp,62575
udp,62677
udp,62699
udp,62958
udp,63420
udp,63555
udp,64080
udp,64481
udp,64513
udp,64590
udp,64727
udp,65024
